Date, Cases, Temperature, Humidity
2020-12-22,324,34,64
2020-12-23,397,33,65
2020-12-24,316,32,66
2020-12-25,388,34,62
2020-12-26,296,35,54
2020-12-27,253,34,54
2020-12-28,144,32,60
2020-12-29,299,34,62
2020-12-30,434,34,65
2020-12-31,570,34,62
2021-01-01,642,34,65
2021-01-02,277,34,66
2021-01-03,214,31,66
2021-01-04,654,34,68
2021-01-05,712,34,66
2021-01-06,642,33,64
2021-01-07,807,33,68
2021-01-08,739,33,64
2021-01-09,573,34,65
2021-01-10,653,34,65
2021-01-11,774,34,66
2021-01-12,435,35,64
2021-01-13,542,35,60
2021-01-14,697,35,56
2021-01-15,713,35,57
2021-01-16,461,30,56
2021-01-17,901,34,57
2021-01-18,776,32,62
2021-01-19,551,35,59
2021-01-20,476,35,58
2021-01-21,824,34,51
2021-01-22,831,33,57
2021-01-23,498,34,59
2021-01-24,360,33,60
2021-01-25,744,33,56
2021-01-26,478,35,59
2021-01-27,773,35,59
2021-01-28,536,34,63
2021-01-29,408,33,62
2021-01-30,1040,35,56
2021-01-31,355,35,65
2021-02-01,227,35,64
2021-02-02,440,32,61
2021-02-03,377,34,63
2021-02-04,275,35,66
2021-02-05,535,34,64
2021-02-06,535,34,62
2021-02-07,22,36,66
2021-02-08,86,35,61
2021-02-09,214,35,59
2021-02-10,297,36,61
2021-02-11,236,35,60
2021-02-12,204,34,64
2021-02-13,319,35,64
2021-02-14,170,35,63
2021-02-15,81,32,65
2021-02-16,204,34,62
2021-02-17,229,29,58
2021-02-18,273,35,46
2021-02-19,167,35,48
2021-02-20,282,34,35
2021-02-21,166,36,48
2021-02-22,99,34,54
2021-02-23,170,35,57
2021-02-24,240,33,56
2021-02-25,259,31,61
2021-02-26,169,34,65
2021-02-27,96,30,62
2021-02-28,82,34,67
2021-03-01,120,35,66
2021-03-02,153,35,64
2021-03-03,131,35,66
2021-03-04,141,36,64
2021-03-05,101,36,66
2021-03-06,70,35,65
2021-03-07,29,36,61
2021-03-08,102,31,63
2021-03-09,86,34,79
2021-03-10,36,35,53
2021-03-11,107,33,67
2021-03-12,101,35,67
2021-03-13,25,34,70
2021-03-14,32,29,89
2021-03-15,72,34,66
2021-03-16,47,34,67
2021-03-17,42,28,79
2021-03-18,41,29,83
2021-03-19,46,33,89
2021-03-20,35,33,56
2021-03-21,28,33,75
2021-03-22,64,31,63
2021-03-23,33,31,67
